"filename", "language", "Dart", "Todo", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\courts\representation\cubits\courts\football_court_states.dart", "Dart", 12, 0, 0, 6, 18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\courts\representation\cubits\single court\single_football_court_cubit.dart", "Dart", 92, 0, 3, 11, 106
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\courts\representation\cubits\single court\single_football_court_states.dart", "Dart", 16, 0, 5, 9, 30
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\courts\representation\pages\football_courts_details_page.dart", "Dart", 515, 0, 19, 32, 566
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\courts\representation\pages\football_courts_list.dart", "Dart", 63, 0, 7, 8, 78
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\data\firebase_events_repo.dart", "Dart", 108, 0, 8, 28, 144
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\domain\models\event.dart", "Dart", 45, 0, 0, 6, 51
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\domain\models\football_court.dart", "Dart", 66, 0, 2, 5, 73
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\domain\models\wedding_venue.dart", "Dart", 77, 0, 2, 5, 84
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\domain\models\wedding_venue_detailed.dart", "Dart", 24, 0, 0, 4, 28
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\domain\models\wedding_venue_drink.dart", "Dart", 50, 0, 3, 7, 60
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\domain\models\wedding_venue_meal.dart", "Dart", 50, 0, 3, 6, 59
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\domain\repo\events_repo.dart", "Dart", 19, 0, 0, 5, 24
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\representation\components\event_date_picker.dart", "Dart", 95, 0, 12, 6, 113
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\events\shared\representation\components\event_image_slider.dart", "Dart", 51, 0, 0, 4, 55
